file1,"cod_event;cod_event_in;volcan;est;componente;id_cl;algo_detecion_id;fecha_pick;analista;snr;label_event;c_label;descripcion;prom_ruido_fondo;inicio;fin;largo;prob_vt;prob_lp;prob_tr;prob_ot;
FREZ12-11-2017_00:02:06.254 ;1;99;FRE; Z ;1;1; 25-07-21; cesar ;1.000.000; LP ;1; no comment ;1.000.000;737.011.001.461;737.011.001.667;23.264.663; 0.029630; 0.570447; 0.330722; 0.069200; 
FREZ12-11-2017_01:32:43.746 ;2;99;FRE; Z ;1;1; 25-07-22; cesar ;1.000.000; TR ;1; no comment ;1.000.000;737.011.064.395;737.011.064.662;98.987.314; 0.061472; 0.350170; 0.445944; 0.142415; 
FREZ12-11-2017_01:33:09.342 ;3;99;FRE; Z ;1;1; 25-07-23; cesar ;1.000.000; TR ;1; no comment ;1.000.000;737.011.064.691;737.011.064.797;98.987.314; 0.126441; 0.267050; 0.431577; 0.174932; 
FREZ12-11-2017_01:33:33.915 ;4;99;FRE; Z ;1;1; 25-07-24; cesar ;1.000.000; TR ;1; no comment ;1.000.000;737.011.064.976;737.011.065.447;98.987.314; 0.070376; 0.209336; 0.415692; 0.304596; 
FREZ12-11-2017_01:34:20.644 ;5;99;FRE; Z ;1;1; 25-07-25; cesar ;1.000.000; TR ;1; no comment ;1.000.000;737.011.065.517;737.011.065.656;58.991.300; 0.048159; 0.329701; 0.557767; 0.064372; 
FREZ12-11-2017_01:53:23.389 ;6;99;FRE; Z ;1;1; 25-07-26; cesar ;1.000.000; LP ;1; no comment ;1.000.000;737.011.078.743;737.011.078.911;23.264.663; 0.032871; 0.468787; 0.361987; 0.136356; 
FREZ12-11-2017_02:37:07.237 ;7;99;FRE; Z ;1;1; 25-07-27; cesar ;1.000.000; LP ;1; no comment ;1.000.000;737.011.109.111;737.011.109.284;23.264.663; 0.105064; 0.480631; 0.305666; 0.108638; 
FREZ12-11-2017_02:57:06.217 ;8;99;FRE; Z ;1;1; 25-07-28; cesar ;1.000.000; LP ;1; no comment ;1.000.000;737.011.122.989;737.011.123.158;23.264.663; 0.140566; 0.421067; 0.286619; 0.151748; 
FREZ12-11-2017_03:07:10.325 ;9;99;FRE; Z ;1;1; 25-07-29; cesar ;1.000.000; LP ;1; no comment ;1.000.000;737.011.129.981;737.011.130.099;23.264.663; 0.089557; 0.415101; 0.358649; 0.136693; 
FREZ12-11-2017_03:45:57.572 ;10;99;FRE; Z ;1;1; 25-07-30; cesar ;1.000.000; LP ;1; no comment ;1.000.000;737.011.156.916;737.011.157.094;23.264.663; 0.080498; 0.576262; 0.233551; 0.109689; 
FREZ12-11-2017_04:17:49.957 ;11;99;FRE; Z ;1;1; 25-07-31; cesar ;1.000.000; LP ;1; no comment ;1.000.000;737.011.179.050;737.011.179.224;23.264.663; 0.100136; 0.504809; 0.291355; 0.103700; 
FREZ12-11-2017_05:06:44.985 ;12;99;FRE; Z ;1;1; 25-07-32; cesar ;1.000.000; LP ;1; no comment ;1.000.000;737.011.213.021;737.011.213.283;34.266.194; 0.020591; 0.592394; 0.336038; 0.050977; 
FREZ12-11-2017_06:00:34.152 ;13;99;FRE; Z ;1;1; 25-07-33; cesar ;1.000.000; OT ;1; no comment ;1.000.000;737.011.250.395;737.011.250.927;62.795.519; 0.390292; 0.061477; 0.054775; 0.493455; 
