file1,"cod_event_in;id_volcan;est;componente;id_evento_macro;cod_event;id_tecnica;fecha_pick;autor;t_p;t_s;c_p;c_s;inicio;snr;polar;fecha_cr;descripcion;label_event;amplitud;coda;frecuencia
1;99;SHG;Z;20171212_000315.492 ;SHGZ12-12-2017_00:03:14.626;1;2021-07-04 23:27:24.431 ;4Testing;2017-12-12T00:03:15.492Z;2017-12-12T00:03:34.124Z;0;0;0;107061;c;0002-07-21T00:00:00Z;sin comentario;1;72.542;12-12-2017 0:05;1
2;99;FRE;Z;20171212_000325.633 ;FREZ12-12-2017_00:03:13.356;1;2021-07-04 23:27:24.437 ;4Testing;2017-12-12T00:03:25.633Z;2017-12-12T00:03:27.573Z;0;0;0;16649;c;0002-07-21T00:00:00Z;sin comentario;1;74.448;12-12-2017 0:04;1
4;99;FRE;Z;20171212_000506.969 ;FREZ12-12-2017_00:04:10.795;1;2021-07-04 23:27:24.442 ;4Testing;2017-12-12T00:05:06.969Z;2017-12-12T00:05:08.960Z;0;0;0;61972;c;0002-07-21T00:00:00Z;sin comentario;1;144.022;12-12-2017 0:05;1
5;99;NBL;Z;20171212_000506.969 ;NBLZ12-12-2017_00:05:06.734;1;2021-07-04 23:27:24.445 ;4Testing;2017-12-12T00:05:09.432Z;2017-12-12T00:05:10.352Z;0;0;0;-0.96662;c;0002-07-21T00:00:00Z;sin comentario;1;28.671;12-12-2017 0:05;1
6;99;CHS;Z;20171212_000527.994 ;CHSZ12-12-2017_00:05:06.004;1;2021-07-04 23:27:24.450 ;4Testing;2017-12-12T00:05:27.994Z;2017-12-12T00:05:09.762Z;0;0;0;-0.57702;c;0002-07-21T00:00:00Z;sin comentario;1;29.938;12-12-2017 0:05;1
7;99;FRE;Z;20171212_000548.172 ;FREZ12-12-2017_00:05:44.183;1;2021-07-04 23:27:24.451 ;4Testing;2017-12-12T00:05:48.172Z;2017-12-12T00:05:47.702Z;0;0;0;-65394;c;0002-07-21T00:00:00Z;sin comentario;1;27.035;12-12-2017 0:06;1
8;99;FRE;Z;20171212_002024.052 ;FREZ12-12-2017_00:20:20.046;1;2021-07-04 23:27:24.452 ;4Testing;2017-12-12T00:20:24.052Z;2017-12-12T00:21:02.197Z;0;0;0;-0.64455;c;0002-07-21T00:00:00Z;sin comentario;1;45.265;12-12-2017 0:20;1
10;99;FRE;Z;20171212_002102.775 ;FREZ12-12-2017_00:20:37.715;1;2021-07-04 23:27:24.454 ;4Testing;2017-12-12T00:21:02.775Z;2017-12-12T00:21:02.265Z;0;0;0;-10056;c;0002-07-21T00:00:00Z;sin comentario;1;45.265;12-12-2017 0:21;1
11;99;SHG;Z;20171212_002102.775 ;SHGZ12-12-2017_00:20:19.686;1;2021-07-04 23:27:24.457 ;4Testing;2017-12-12T00:21:03.417Z;2017-12-12T00:20:49.775Z;0;0;0;-12561;c;0002-07-21T00:00:00Z;sin comentario;1;30.745;12-12-2017 0:21;1
12;99;FRE;Z;20171212_002245.748 ;FREZ12-12-2017_00:22:02.064;1;2021-07-04 23:27:24.458 ;4Testing;2017-12-12T00:22:45.748Z;2017-12-12T00:22:03.491Z;0;0;0;-0.79445;c;0002-07-21T00:00:00Z;sin comentario;1;23.053;12-12-2017 0:22;1
13;99;FU2;Z;20171212_003517.862 ;FU2Z12-12-2017_00:35:09.368;1;2021-07-04 23:27:24.459 ;4Testing;2017-12-12T00:35:17.862Z;2017-12-12T00:35:09.531Z;0;0;0;-0.48231;c;0002-07-21T00:00:00Z;sin comentario;1;84.826;12-12-2017 0:35;1
14;99;FRE;Z;20171212_004722.717 ;FREZ12-12-2017_00:46:45.214;1;2021-07-04 23:27:24.460 ;4Testing;2017-12-12T00:47:22.717Z;2017-12-12T00:46:48.792Z;0;0;0;-0.65369;c;0002-07-21T00:00:00Z;sin comentario;1;25.375;12-12-2017 0:46;1
15;99;FU2;Z;20171212_005022.192 ;FU2Z12-12-2017_00:50:18.160;1;2021-07-04 23:27:24.461 ;4Testing;2017-12-12T00:50:22.192Z;2017-12-12T00:50:21.762Z;0;0;0;-34005;c;0002-07-21T00:00:00Z;sin comentario;1;42.334;12-12-2017 0:50;1
16;99;FU2;Z;20171212_005022.192 ;FU2Z12-12-2017_00:50:00.450;1;2021-07-04 23:27:24.462 ;4Testing;2017-12-12T00:50:22.195Z;2017-12-12T00:50:21.765Z;0;0;0;-16175;c;0002-07-21T00:00:00Z;sin comentario;1;42.334;12-12-2017 0:50;1
17;99;FU2;Z;20171212_005649.636 ;FU2Z12-12-2017_00:56:18.293;1;2021-07-04 23:27:24.462 ;4Testing;2017-12-12T00:56:49.636Z;2017-12-12T00:56:21.252Z;0;0;0;-18156;c;0002-07-21T00:00:00Z;sin comentario;1;32.706;12-12-2017 0:56;1
18;99;FU2;Z;20171212_005848.139 ;FU2Z12-12-2017_00:57:55.981;1;2021-07-04 23:27:24.463 ;4Testing;2017-12-12T00:58:48.139Z;2017-12-12T00:57:59.302Z;0;0;0;-138009;c;0002-07-21T00:00:00Z;sin comentario;1;13.452;12-12-2017 0:58;1
